Perturb Freq,Filter Size,Mu,Psi,Is SVD,Overshoot,Convergence Time
13.5,200,0.001,0.0001,True,2.0564451838869795,15.594663354634505
13.5,200,0.001,0.0001,False,6.450761522639202,25.43620665478074
13.5,200,0.001,0.001,True,2.0564451838869795,15.594663354634505
13.5,200,0.001,0.001,False,6.450761522639202,25.43620665478074
13.5,200,0.001,0.01,True,2.0564451838869795,15.594663354634505
13.5,200,0.001,0.01,False,6.450761522639202,25.43620665478074
13.5,200,0.001,0.1,True,2.0564451838869795,15.594663354634505
13.5,200,0.001,0.1,False,6.450761522639202,25.43620665478074
13.5,200,0.002,0.0001,True,1.1758222924384436,9.260401850998612
13.5,200,0.002,0.0001,False,4.359711099691156,14.765319818105326
13.5,200,0.002,0.001,True,1.1758222924384436,9.260401850998612
13.5,200,0.002,0.001,False,4.359711099691156,14.765319818105326
13.5,200,0.002,0.01,True,1.1758222924384436,9.260401850998612
13.5,200,0.002,0.01,False,4.359711099691156,14.765319818105326
13.5,200,0.002,0.1,True,1.1758222924384436,9.260401850998612
13.5,200,0.002,0.1,False,4.359711099691156,14.765319818105326
13.5,200,0.003,0.0001,True,0.9955423141573467,6.356497525992104
13.5,200,0.003,0.0001,False,4.006614098232156,11.171497826478891
13.5,200,0.003,0.001,True,0.9955423141573467,6.356497525992104
13.5,200,0.003,0.001,False,4.006614098232156,11.171497826478891
13.5,200,0.003,0.01,True,0.9955423141573467,6.356497525992104
13.5,200,0.003,0.01,False,4.006614098232156,11.171497826478891
13.5,200,0.003,0.1,True,0.9955423141573467,6.356497525992104
13.5,200,0.003,0.1,False,4.006614098232156,11.171497826478891
13.5,200,0.004,0.0001,True,0.995565163357428,5.281956769967344
13.5,200,0.004,0.0001,False,4.149424423579654,8.945491696548409
13.5,200,0.004,0.001,True,0.995565163357428,5.281956769967344
13.5,200,0.004,0.001,False,4.149424423579654,8.945491696548409
13.5,200,0.004,0.01,True,0.995565163357428,5.281956769967344
13.5,200,0.004,0.01,False,4.149424423579654,8.945491696548409
13.5,200,0.004,0.1,True,0.995565163357428,5.281956769967344
13.5,200,0.004,0.1,False,4.149424423579654,8.945491696548409
13.5,200,0.005,0.0001,True,0.9955880005555859,5.00070113584006
13.5,200,0.005,0.0001,False,4.178722508910012,8.301248021795303
13.5,200,0.005,0.001,True,0.9955880005555859,5.00070113584006
13.5,200,0.005,0.001,False,4.178722508910012,8.301248021795303
13.5,200,0.005,0.01,True,0.9955880005555859,5.00070113584006
13.5,200,0.005,0.01,False,4.178722508910012,8.301248021795303
13.5,200,0.005,0.1,True,0.9955880005555859,5.00070113584006
13.5,200,0.005,0.1,False,4.178722508910012,8.301248021795303
13.5,200,0.006,0.0001,True,0.9956108257520002,4.486267753761091
13.5,200,0.006,0.0001,False,4.565107005664261,7.435846070634426
13.5,200,0.006,0.001,True,0.9956108257520002,4.486267753761091
13.5,200,0.006,0.001,False,4.565107005664261,7.435846070634426
13.5,200,0.006,0.01,True,0.9956108257520002,4.486267753761091
13.5,200,0.006,0.01,False,4.565107005664261,7.435846070634426
13.5,200,0.006,0.1,True,0.9956108257520002,4.486267753761091
13.5,200,0.006,0.1,False,4.565107005664261,7.435846070634426
13.5,200,0.007,0.0001,True,0.9956336389467845,8.66183216811234
13.5,200,0.007,0.0001,False,4.634624969465813,8.522406298203087
13.5,200,0.007,0.001,True,0.9956336389467845,8.66183216811234
13.5,200,0.007,0.001,False,4.634624969465813,8.522406298203087
13.5,200,0.007,0.01,True,0.9956336389467845,8.66183216811234
13.5,200,0.007,0.01,False,4.634624969465813,8.522406298203087
13.5,200,0.007,0.1,True,0.9956336389467845,8.66183216811234
13.5,200,0.007,0.1,False,4.634624969465813,8.522406298203087
13.5,200,0.008,0.0001,True,1.098540678746883,22.41931929726156
13.5,200,0.008,0.0001,False,5.857767611326836,11.226787395580835
13.5,200,0.008,0.001,True,1.098540678746883,22.41931929726156
13.5,200,0.008,0.001,False,5.857767611326836,11.226787395580835
13.5,200,0.008,0.01,True,1.098540678746883,22.41931929726156
13.5,200,0.008,0.01,False,5.857767611326836,11.226787395580835
13.5,200,0.008,0.1,True,1.098540678746883,22.41931929726156
13.5,200,0.008,0.1,False,5.857767611326836,11.226787395580835
13.5,200,0.009000000000000001,0.0001,True,1.1491367942526793,19.789458923455996
13.5,200,0.009000000000000001,0.0001,False,6.9848384300376285,22.789519020813714
13.5,200,0.009000000000000001,0.001,True,1.1491367942526793,19.789458923455996
13.5,200,0.009000000000000001,0.001,False,6.9848384300376285,22.789519020813714
13.5,200,0.009000000000000001,0.01,True,1.1491367942526793,19.789458923455996
13.5,200,0.009000000000000001,0.01,False,6.9848384300376285,22.789519020813714
13.5,200,0.009000000000000001,0.1,True,1.1491367942526793,19.789458923455996
13.5,200,0.009000000000000001,0.1,False,6.9848384300376285,22.789519020813714
13.5,200,0.01,0.0001,True,1.124252049650674,15.524950419679875
13.5,200,0.01,0.0001,False,7.066538458646888,26.87133155712253
13.5,200,0.01,0.001,True,1.124252049650674,15.524950419679875
13.5,200,0.01,0.001,False,7.066538458646888,26.87133155712253
13.5,200,0.01,0.01,True,1.124252049650674,15.524950419679875
13.5,200,0.01,0.01,False,7.066538458646888,26.87133155712253
13.5,200,0.01,0.1,True,1.124252049650674,15.524950419679875
13.5,200,0.01,0.1,False,7.066538458646888,26.87133155712253
13.5,200,0.01,0.0001,True,1.124252049650674,15.524950419679875
13.5,200,0.01,0.0001,False,7.066538458646888,26.87133155712253
13.5,200,0.01,0.001,True,1.124252049650674,15.524950419679875
13.5,200,0.01,0.001,False,7.066538458646888,26.87133155712253
13.5,200,0.01,0.01,True,1.124252049650674,15.524950419679875
13.5,200,0.01,0.01,False,7.066538458646888,26.87133155712253
13.5,200,0.01,0.1,True,1.124252049650674,15.524950419679875
13.5,200,0.01,0.1,False,7.066538458646888,26.87133155712253
13.5,200,0.02,0.0001,True,23.18181787480733,28.412227809050655
13.5,200,0.02,0.0001,False,165.42911958215657,39.90043871071134
13.5,200,0.02,0.001,True,23.18181787480733,28.412227809050655
13.5,200,0.02,0.001,False,165.42911958215657,39.90043871071134
13.5,200,0.02,0.01,True,23.18181787480733,28.412227809050655
13.5,200,0.02,0.01,False,165.42911958215657,39.90043871071134
13.5,200,0.02,0.1,True,23.18181787480733,28.412227809050655
13.5,200,0.02,0.1,False,165.42911958215657,39.90043871071134
13.5,200,0.03,0.0001,True,1000.0,57.583485246098675
13.5,200,0.03,0.0001,False,1000.0,90.0
13.5,200,0.03,0.001,True,1000.0,57.583485246098675
13.5,200,0.03,0.001,False,1000.0,90.0
13.5,200,0.03,0.01,True,1000.0,57.583485246098675
13.5,200,0.03,0.01,False,1000.0,90.0
13.5,200,0.03,0.1,True,1000.0,57.583485246098675
13.5,200,0.03,0.1,False,1000.0,90.0
13.5,200,0.04,0.0001,True,1000.0,90.0
13.5,200,0.04,0.0001,False,1000.0,90.0
13.5,200,0.04,0.001,True,1000.0,90.0
13.5,200,0.04,0.001,False,1000.0,90.0
13.5,200,0.04,0.01,True,1000.0,90.0
13.5,200,0.04,0.01,False,1000.0,90.0
13.5,200,0.04,0.1,True,1000.0,90.0
13.5,200,0.04,0.1,False,1000.0,90.0
13.5,200,0.05,0.0001,True,1000.0,90.0
13.5,200,0.05,0.0001,False,1000.0,90.0
13.5,200,0.05,0.001,True,1000.0,90.0
13.5,200,0.05,0.001,False,1000.0,90.0
13.5,200,0.05,0.01,True,1000.0,90.0
13.5,200,0.05,0.01,False,1000.0,90.0
13.5,200,0.05,0.1,True,1000.0,90.0
13.5,200,0.05,0.1,False,1000.0,90.0
13.5,200,0.06,0.0001,True,1000.0,90.0
13.5,200,0.06,0.0001,False,1000.0,90.0
13.5,200,0.06,0.001,True,1000.0,90.0
13.5,200,0.06,0.001,False,1000.0,90.0
13.5,200,0.06,0.01,True,1000.0,90.0
13.5,200,0.06,0.01,False,1000.0,90.0
13.5,200,0.06,0.1,True,1000.0,90.0
13.5,200,0.06,0.1,False,1000.0,90.0
13.5,200,0.07,0.0001,True,1000.0,90.0
13.5,200,0.07,0.0001,False,1000.0,90.0
13.5,200,0.07,0.001,True,1000.0,90.0
13.5,200,0.07,0.001,False,1000.0,90.0
13.5,200,0.07,0.01,True,1000.0,90.0
13.5,200,0.07,0.01,False,1000.0,90.0
13.5,200,0.07,0.1,True,1000.0,90.0
13.5,200,0.07,0.1,False,1000.0,90.0
13.5,200,0.08,0.0001,True,1000.0,90.0
13.5,200,0.08,0.0001,False,1000.0,90.0
13.5,200,0.08,0.001,True,1000.0,90.0
13.5,200,0.08,0.001,False,1000.0,90.0
