Perturb Freq,Filter Size,Mu,Psi,Is SVD,Overshoot,Convergence Time
13.0,200,0.001,0.0001,True,1.9227168422928798,18.073078386986914
13.0,200,0.001,0.0001,False,2.5356924353882575,24.05396742723211
13.0,200,0.001,0.001,True,1.9227168422928798,18.073078386986914
13.0,200,0.001,0.001,False,2.5356924353882575,24.05396742723211
13.0,200,0.001,0.01,True,1.9227168422928798,18.073078386986914
13.0,200,0.001,0.01,False,2.5356924353882575,24.05396742723211
13.0,200,0.001,0.1,True,1.9227168422928798,18.073078386986914
13.0,200,0.001,0.1,False,2.5356924353882575,24.05396742723211
13.0,200,0.002,0.0001,True,1.1047771247705644,11.296500330535466
13.0,200,0.002,0.0001,False,1.6873136228825,14.046555419780042
13.0,200,0.002,0.001,True,1.1047771247705644,11.296500330535466
13.0,200,0.002,0.001,False,1.6873136228825,14.046555419780042
13.0,200,0.002,0.01,True,1.1047771247705644,11.296500330535466
13.0,200,0.002,0.01,False,1.6873136228825,14.046555419780042
13.0,200,0.002,0.1,True,1.1047771247705644,11.296500330535466
13.0,200,0.002,0.1,False,1.6873136228825,14.046555419780042
13.0,200,0.003,0.0001,True,1.0024011405057738,8.741160680302087
13.0,200,0.003,0.0001,False,1.6335423787388512,10.481580159858972
13.0,200,0.003,0.001,True,1.0024011405057738,8.741160680302087
13.0,200,0.003,0.001,False,1.6335423787388512,10.481580159858972
13.0,200,0.003,0.01,True,1.0024011405057738,8.741160680302087
13.0,200,0.003,0.01,False,1.6335423787388512,10.481580159858972
13.0,200,0.003,0.1,True,1.0024011405057738,8.741160680302087
13.0,200,0.003,0.1,False,1.6335423787388512,10.481580159858972
13.0,200,0.004,0.0001,True,1.0024582244268163,7.3108435665778515
13.0,200,0.004,0.0001,False,1.6316030109543613,12.587391574350441
13.0,200,0.004,0.001,True,1.0024582244268163,7.3108435665778515
13.0,200,0.004,0.001,False,1.6316030109543613,12.587391574350441
13.0,200,0.004,0.01,True,1.0024582244268163,7.3108435665778515
13.0,200,0.004,0.01,False,1.6316030109543613,12.587391574350441
13.0,200,0.004,0.1,True,1.0024582244268163,7.3108435665778515
